step,mean_reward,mean_sub,implied_level
140000,99.90967559814453,50.0,-0.0
142000,99.91870880126953,50.0,-0.0
144000,99.35026550292969,50.0,-0.0
146000,99.9018783569336,50.0,-0.0
148000,100.0,50.0,-0.0
150000,99.95647430419922,50.0,-0.0
152000,99.74002075195312,50.0,-0.0
154000,100.0,50.0,-0.0
156000,99.57308959960938,50.0,-0.0
158000,100.0,50.0,-0.0
160000,99.6503677368164,50.0,-0.0
162000,99.69744873046875,50.0,-0.0
164000,99.82534790039062,50.0,-0.0
166000,99.96148681640625,50.0,-0.0
168000,99.73731231689453,50.0,-0.0
170000,99.8318862915039,50.0,-0.0
172000,99.77235412597656,50.0,-0.0
174000,100.0,50.0,-0.0
176000,99.6130599975586,50.0,-0.0
178000,99.98920440673828,50.0,-0.0
180000,99.9085922241211,50.0,-0.0
182000,99.44145202636719,50.0,-0.0
184000,99.5603256225586,50.0,-0.0
186000,99.45014190673828,50.0,-0.0
188000,99.9744644165039,50.0,-0.0
190000,98.46014404296875,50.0,-0.0
192000,99.58544921875,50.0,-0.0
194000,99.88947296142578,50.0,-0.0
196000,99.9578628540039,50.0,-0.0
198000,100.0,50.0,-0.0
200000,99.84265899658203,50.0,-0.0
